This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"056258","PAGOSA SPRIN",-107.0167,37.2667,2165,"COOP","11563"
"056266","PALISADE",-108.3500,39.1167,1463,"COOP","11566"
"056280","PALMER LAKE",-104.9167,39.1167,2218,"COOP","11570"
"056306","PAONIA 1 SW",-107.6167,38.8500,1701,"COOP","11572"
"057050","RIO GRANDE R",-107.2667,37.7167,2895,"COOP","11630"
"057337","SAGUACHE",-106.1333,38.0833,2377,"COOP","11648"
"057430","SAN LUIS 2 S",-105.4000,37.1833,2448,"COOP","11657"
"058839","WATERDALE",-105.2000,40.4333,1594,"COOP","11745"
"060973","BURLINGTON",-72.9333,41.8000,155,"COOP","11800"
"061689","COVENTRY",-72.3500,41.8000,146,"COOP","11806"
"064488","MANSFIELD HO",-72.1833,41.7500,76,"COOP","11838"
"065445","NORFOLK 2 SW",-73.2167,41.9667,409,"COOP","11855"
"065893","NORWALK GAS",-73.4167,41.1167,11,"COOP","11863"
"068138","STORRS",-72.2500,41.8000,198,"COOP","11897"
"069388","WEST THOMPSO",-71.9000,41.9500,110,"COOP","11922"
"073570","GEORGETOWN 5",-75.4500,38.6333,14,"COOP","11946"
"080236","ARCHBOLD BIO",-81.3500,27.1833,43,"COOP","11978"
"080369","AVON PARK 2",-81.5333,27.6000,46,"COOP","11979"
"080611","BELLE GLADE",-80.6333,26.6667,5,"COOP","11990"
"080804","BLOUNTSTOWN",-85.0500,30.4500,18,"COOP","11999"
"080945","BRADENTON 5",-82.4667,27.4500,6,"COOP","12005"
"081276","CANAL POINT",-80.6167,26.8667,9,"COOP","12018"
"081544","CHIPLEY 3 E",-85.4833,30.7833,40,"COOP","12031"
"081654","CLEWISTON US",-80.9167,26.7500,6,"COOP","12041"
"081978","CRESCENT CIT",-81.5167,29.4333,17,"COOP","12051"
"082008","CROSS CITY 2",-83.1667,29.6500,13,"COOP","12056"
"082298","DEVILS GARDE",-81.1333,26.6000,6,"COOP","12069"
"082850","EVERGLADES",-81.3833,25.8500,2,"COOP","12078"
"083020","FLAMINGO RAN",-80.9167,25.1500,1,"COOP","12084"
"083874","HASTINGS ARC",-81.5000,29.7167,3,"COOP","12119"
"083909","HIALEAH",-80.2833,25.8333,4,"COOP","12120"
"084289","INVERNESS",-82.3333,28.8333,15,"COOP","12135"
"084394","JASPER",-82.9500,30.5167,45,"COOP","12146"
"084662","LA BELLE",-81.4333,26.7500,5,"COOP","12159"
"084707","LAKE ALFRED",-81.7167,28.1000,42,"COOP","12161"
"084731","LAKE CITY 2",-82.6000,30.1833,59,"COOP","12164"
"085076","LISBON",-81.7833,28.8667,21,"COOP","12174"
"085539","MAYO",-83.1667,30.0500,20,"COOP","12192"
"085678","MIAMI 12 SSW",-80.3000,25.6500,3,"COOP","12206"
"085793","MILTON EXPER",-87.1333,30.7833,66,"COOP","12211"
"085879","MONTICELLO 3",-83.9167,30.5333,44,"COOP","12214"
"085895","MOORE HAVEN",-81.0833,26.8333,6,"COOP","12217"
"086240","NICEVILLE",-86.5000,30.5167,18,"COOP","12229"
"086485","OKEECHOBEE H",-80.8000,27.2167,9,"COOP","12245"
"086842","PANAMA CITY",-85.6000,30.2167,10,"COOP","12266"
"087429","QUINCY 3 SSW",-84.5500,30.6000,75,"COOP","12300"
"087982","SANFORD EXPE",-81.2333,28.8000,5,"COOP","12320"
"088565","STEINHATCHEE",-83.3500,29.7000,11,"COOP","12341"
"088782","TAMPA BAY AR",-82.4006,27.7053,12,"COOP","12358"
"088942","TITUSVILLE",-80.8167,28.6167,2,"COOP","12365"
"089176","VENICE",-82.4333,27.1000,2,"COOP","12373"
"089219","VERO BEACH 4",-80.4500,27.6333,6,"COOP","12378"
"089430","WEEKI WACHEE",-82.5833,28.5167,6,"COOP","12383"
"090140","ALBANY 3 SE",-84.1333,31.5333,45,"COOP","12402"
"090219","ALPHARETTA 5",-84.3000,34.0000,317,"COOP","12409"
"090253","AMERICUS 3 S",-84.2500,32.0500,149,"COOP","12412"
"090311","APPLING 2 NW",-82.3333,33.5667,113,"COOP","12417"
"090586","BAINBRIDGE I",-84.6167,30.8167,58,"COOP","12442"
"090969","BLAIRSVILLE",-83.9333,34.8500,584,"COOP","12452"
"090979","BLAKELY",-84.9500,31.3500,82,"COOP","12453"
"091448","BYRON EXPERI",-83.7333,32.6667,149,"COOP","12469"
"091474","CALHOUN EXPE",-84.9667,34.4833,200,"COOP","12472"
"091973","CLAXTON",-81.9000,32.1667,57,"COOP","12499"
"092180","COMMERCE 4 N",-83.4833,34.2500,229,"COOP","12511"
"092475","DAHLONEGA",-83.9833,34.5333,436,"COOP","12527"
"092485","DALLAS 7 NE",-84.7500,33.9833,335,"COOP","12529"
"092493","DALTON",-84.9500,34.7500,213,"COOP","12530"
"092783","DOUGLAS",-82.8333,31.5167,69,"COOP","12549"
"092839","DUBLIN 3 S",-82.9000,32.5000,66,"COOP","12552"
"092966","EASTMAN 1 W",-83.2000,32.2000,122,"COOP","12556"
"093271","EXPERIMENT",-84.2833,33.2667,282,"COOP","12566"
"093386","FITZGERALD",-83.2500,31.7167,113,"COOP","12575"
"093621","GAINESVILLE",-83.8500,34.3000,357,"COOP","12589"
"094674","JESUP 4 NE",-81.8333,31.6500,24,"COOP","12634"
"094941","LAFAYETTE",-85.2833,34.7000,250,"COOP","12642"
"097087","PLAINS SW GA",-84.3667,32.0500,152,"COOP","12742"
"097777","SANDERSVILLE",-82.8167,32.9667,133,"COOP","12767"
"098703","TIFTON EXP S",-83.5333,31.4833,113,"COOP","12807"
"099141","WARRENTON",-82.6667,33.4167,155,"COOP","12831"
"099157","WASHINGTON 2",-82.7167,33.7167,189,"COOP","12832"
"099186","WAYCROSS 4 N",-82.3167,31.2500,44,"COOP","12835"
"099194","WAYNESBORO 2",-81.9833,33.1167,82,"COOP","12838"
"099291","WEST POINT",-85.1833,32.8667,175,"COOP","12839"
"100010","ABERDEEN EXP",-112.8333,42.9500,1343,"COOP","12852"
"100282","ANDERSON DAM",-115.4500,43.3667,1183,"COOP","12861"
"100448","ARROWROCK DA",-115.9167,43.6167,998,"COOP","12865"
"101018","BOISE LUCKY",-116.0500,43.5333,866,"COOP","12907"
"101180","BROWNLEE DAM",-116.9000,44.8333,562,"COOP","12920"
"101220","BUHL 2",-114.7500,42.6000,1158,"COOP","12925"
"101422","CAMPBELLS FE",-115.3333,45.4833,705,"COOP","12942"
"101514","CASCADE 1 NW",-116.0500,44.5333,1492,"COOP","12948"
"101663","CHALLIS",-114.2333,44.5000,1577,"COOP","12958"
"102575","DIXIE",-115.4667,45.5500,1713,"COOP","13004"
"102845","DWORSHAK FIS",-116.3167,46.5000,303,"COOP","13023"
"102875","ELK CITY RAN",-115.4333,45.8167,1238,"COOP","13025"
"103110","FAIRFIELD 3",-114.7500,43.3167,1530,"COOP","13037"
"103143","FENN RANGER",-115.5667,46.1167,483,"COOP","13043"
"103297","FORT HALL IN",-112.4333,43.0333,1359,"COOP","13048"
"104140","HAZELTON",-114.1333,42.6000,1237,"COOP","13094"
"104150","HEADQUARTERS",-115.8000,46.6333,958,"COOP","13095"
"104384","HOWE",-113.0000,43.7833,1470,"COOP","13113"
"104598","ISLAND PARK",-111.3667,44.4167,1917,"COOP","13135"
"104670","JEROME",-114.5167,42.7333,1140,"COOP","13137"
"104831","KELLOGG",-116.1333,47.5333,708,"COOP","13144"
"104845","KETCHUM RANG",-114.3667,43.6833,1795,"COOP","13148"
"105897","MIDDLE FORK",-115.0167,44.7167,1366,"COOP","13220"
"106174","MOUNTAIN HOM",-115.7000,43.1333,972,"COOP","13239"
"106305","NAMPA SUGAR",-116.5667,43.6000,753,"COOP","13254"
"106388","NEW MEADOWS",-116.2833,44.9667,1180,"COOP","13258"
"106844","PARMA EXPERI",-116.9500,43.8000,698,"COOP","13280"
"106877","PAUL 1 ENE",-113.7500,42.6167,1265,"COOP","13281"
"107040","PICABO",-114.0667,43.3000,1472,"COOP","13289"
"107320","POWELL",-114.7000,46.5167,1107,"COOP","13307"
"107644","REXBURG RICK",-111.7833,43.8167,1500,"COOP","13332"
"107648","REYNOLDS",-116.7500,43.2000,1198,"COOP","13333"
"107968","RUPERT 1 E",-113.6667,42.6167,1264,"COOP","13352"
"108022","ST ANTHONY 1",-111.7167,43.9667,1509,"COOP","13358"
"109293","TWIN FALLS C",-114.4667,42.5833,1119,"COOP","13431"
"109303","TWIN FALLS W",-114.3500,42.5500,1207,"COOP","13434"
"109498","WALLACE WOOD",-115.9167,47.4833,896,"COOP","13440"
"109846","WINCHESTER 1",-116.6000,46.2333,1207,"COOP","13457"
"109951","YELLOW PINE",-115.5167,44.8667,1545,"COOP","13462"
"110137","ALTON DAM 26",-90.1833,38.8833,131,"COOP","13469"
"110203","ANTIOCH 2 NW",-88.1333,42.5000,229,"COOP","13474"
"110442","BARRINGTON",-88.1500,42.1667,244,"COOP","13492"
"111265","CARBONDALE S",-89.1653,37.7306,119,"COOP","13541"
"111497","CHICAGO BOTA",-87.7667,42.1167,192,"COOP","13567"
"112348","DIXON 2 W",-89.5333,41.8333,195,"COOP","13642"
"112687","EFFINGHAM",-88.5667,39.1333,179,"COOP","13660"
"112736","ELGIN",-88.3333,42.0333,268,"COOP","13665"
"113262","FREEPORT WAS",-89.6000,42.3000,229,"COOP","13690"
"113369","GEBHARD WOOD",-88.4333,41.3500,154,"COOP","13698"
"113940","HAVANA 4 NNE",-90.0167,40.3500,140,"COOP","13736"
"114442","JACKSONVILLE",-90.2000,39.7333,186,"COOP","13758"
"114489","JERSEYVILLE",-90.3500,39.1000,192,"COOP","13761"
"114530","JOLIET BRAND",-88.1000,41.5000,165,"COOP","13762"
"114603","KANKAKEE WAT",-87.8833,41.1333,195,"COOP","13768"
"114629","KASKASKIA R",-89.9500,37.9833,116,"COOP","13769"
"114710","KEWANEE 1 E",-89.9000,41.2500,238,"COOP","13772"
"115326","MARENGO",-88.6000,42.2500,250,"COOP","13831"
"115342","MARION 4 NNE",-88.9000,37.7667,146,"COOP","13833"
"115515","MCLEANSBORO",-88.5000,38.1000,146,"COOP","13846"
"115712","MINONK",-89.0500,40.9000,228,"COOP","13853"
"115833","MORRISON",-89.9667,41.8167,204,"COOP","13864"
"115841","MORRISONVILL",-89.4667,39.4167,192,"COOP","13865"
"115888","MOUNT CARMEL",-87.7500,38.4000,113,"COOP","13870"
"115901","MOUNT CARROL",-89.9833,42.0833,214,"COOP","13873"
"116159","NEWTON 6 SSE",-88.1167,38.9167,156,"COOP","13898"
"116616","PARK FOREST",-87.6833,41.5000,217,"COOP","13922"
"116661","PAW PAW 1 E",-88.9667,41.7000,283,"COOP","13925"
"116910","PONTIAC",-88.6333,40.8833,198,"COOP","13955"
"117077","QUINCY DAM 2",-91.4333,39.9000,146,"COOP","13965"
"117354","ROCHELLE",-89.0667,41.9000,236,"COOP","13982"
"117876","SHELBYVILLE",-88.7833,39.4000,201,"COOP","14013"
"118293","STOCKTON 1 N",-90.0000,42.3500,291,"COOP","14045"
"119002","WATERLOO",-90.1500,38.3333,198,"COOP","14080"
"119021","WATSEKA 2 NW",-87.7667,40.7833,189,"COOP","14082"
"119029","WAUKEGAN",-87.8833,42.3500,214,"COOP","14083"
"120200","ANGOLA",-84.9833,41.6333,308,"COOP","14122"
"120784","BLOOMINGTON",-86.5167,39.1667,251,"COOP","14137"
"120830","BLUFFTON 4 N",-85.1667,40.8000,258,"COOP","14144"
"121030","BROOKVILLE",-85.0167,39.4167,204,"COOP","14156"
"121229","CAMBRIDGE CI",-85.1667,39.8167,290,"COOP","14163"
"121739","COLUMBIA CIT",-85.4833,41.1333,262,"COOP","14181"
"121747","COLUMBUS",-85.9167,39.2000,183,"COOP","14182"
"122309","DUBOIS S IND",-86.7000,38.4500,210,"COOP","14217"
"122549","EDWARDSPORT",-87.2333,38.8000,140,"COOP","14221"
"122825","FARMLAND 5 N",-85.1500,40.2500,294,"COOP","14243"
"123513","GREENCASTLE",-86.8500,39.6500,256,"COOP","14281"
"123527","GREENFIELD",-85.7500,39.7833,264,"COOP","14282"
"123777","HARTFORD CIT",-85.4500,40.4667,274,"COOP","14294"
"124181","HUNTINGTON W",-85.5000,40.8500,221,"COOP","14313"
"124272","INDIANAPOLIS",-86.1167,39.7500,229,"COOP","14326"
"124662","KOKOMO 7 SE",-86.0500,40.4167,262,"COOP","14345"
"124715","LAFAYETTE 5",-86.8667,40.3500,183,"COOP","14351"
"124730","LAGRANGE SEW",-85.4167,41.6500,273,"COOP","14353"
"125174","LOWELL",-87.4167,41.2833,204,"COOP","14380"
"125217","LYNNWOOD FAR",-86.0500,39.9667,226,"COOP","14382"
"125337","MARION 2 N",-85.6667,40.5667,241,"COOP","14387"
"125407","MARTINSVILLE",-86.4500,39.4000,184,"COOP","14394"
"126001","MOUNT VERNON",-87.8833,37.9500,126,"COOP","14424"
"126164","NEW CASTLE",-85.3833,39.9333,304,"COOP","14437"
"126304","NEW WHITELAN",-86.1000,39.5500,239,"COOP","14443"
"126506","OAKLANDON GE",-85.9833,39.9000,242,"COOP","14457"
"126580","OOLITIC PURD",-86.5500,38.8833,198,"COOP","14459"
"126830","PERRYSVILLE",-87.5000,40.0667,189,"COOP","14468"
"127102","PRAIRIE HEIG",-85.2000,41.6333,300,"COOP","14480"
"127298","RENSSELAER",-87.1500,40.9333,198,"COOP","14487"
"127482","ROCHESTER",-86.2167,41.0667,235,"COOP","14494"
"127646","RUSHVILLE SE",-85.4500,39.6000,291,"COOP","14502"
"127875","SCOTTSBURG",-85.7667,38.7000,168,"COOP","14513"
"127935","SEYMOUR 2 N",-85.9000,38.9833,182,"COOP","14516"
"127999","SHELBYVILLE",-85.7833,39.5167,229,"COOP","14520"
"128036","SHOALS HIWAY",-86.8000,38.6667,168,"COOP","14521"
"128290","SPENCER",-86.7667,39.2833,168,"COOP","14526"
"128698","TELL CITY PO",-86.7667,37.9500,122,"COOP","14537"
"129430","WEST LAFAYET",-87.0000,40.4667,215,"COOP","14584"
"129557","WHITESTOWN",-86.3333,40.0000,283,"COOP","14590"
"130807","BOONE",-93.8833,42.0500,317,"COOP","14656"
"131257","CASCADE",-91.0167,42.3000,259,"COOP","14674"
"131442","CHEROKEE",-95.5333,42.7500,360,"COOP","14687"
"131541","CLARION",-93.7500,42.7333,358,"COOP","14694"
"131710","COLO",-93.3178,42.0161,305,"COOP","14705"
"131833","CORNING",-94.7500,41.0000,370,"COOP","14715"
"131954","CRESCO 1 NE",-92.1167,43.3833,384,"COOP","14722"
"132573","ELDORA",-93.1000,42.3500,332,"COOP","14769"
"132724","ESTHERVILLE",-94.8333,43.4167,397,"COOP","14777"
"133007","FORT MADISON",-91.2833,40.6333,162,"COOP","14791"
"133473","GRINNELL 3 S",-92.7333,41.7167,307,"COOP","14809"
"133487","GRUNDY CENTE",-92.7833,42.3667,311,"COOP","14810"
"133509","GUTHRIE CENT",-94.5000,41.6833,363,"COOP","14811"
"134561","LAKE PARK",-95.3167,43.4500,448,"COOP","14887"
"135086","MANCHESTER #",-91.4500,42.4667,302,"COOP","14919"
"135198","MARSHALLTOWN",-92.9333,42.0667,265,"COOP","14930"
"136566","PERRY",-94.1167,41.8333,293,"COOP","15029"
"136910","RATHBUN DAM",-92.9000,40.8167,294,"COOP","15042"
"137147","ROCK RAPIDS",-96.1667,43.4333,412,"COOP","15056"
"137664","SIBLEY 5 NNE",-95.7167,43.4500,509,"COOP","15082"
"137979","STORM LAKE 2",-95.1833,42.6333,434,"COOP","15109"
"138296","TOLEDO",-92.5833,41.9833,271,"COOP","15124"
"140365","ASHLAND",-99.7667,37.2000,600,"COOP","15207"
"140865","BISON",-99.2000,38.5167,613,"COOP","15260"
"141383","CEDAR BLUFF",-99.7167,38.8000,649,"COOP","15308"
"141612","CLINTON LAKE",-95.3333,38.9333,298,"COOP","15342"
"141699","COLBY 1 SW",-101.0667,39.3833,967,"COOP","15351"
"141740","COLUMBUS 1 S",-94.8500,37.1667,274,"COOP","15357"
"141867","COUNCIL GROV",-96.5167,38.6833,402,"COOP","15372"
"142430","ELK CITY LAK",-95.8000,37.2833,242,"COOP","15426"
"142432","ELKHART 6 NN",-101.8500,37.0833,1063,"COOP","15428"
"142686","FALL RIVER L",-96.0833,37.6500,310,"COOP","15458"
"142980","GARDEN CITY",-100.8167,37.9833,874,"COOP","15486"
"143100","GLEN ELDER L",-98.3167,39.5000,457,"COOP","15503"
"143527","HAYS 1 S",-99.3333,38.8667,613,"COOP","15541"
"144178","KANOPOLIS LA",-97.9500,38.6000,454,"COOP","15616"
"144333","KINSLEY",-99.4167,37.9167,662,"COOP","15631"
"144357","KIRWIN DAM",-99.1167,39.6667,517,"COOP","15636"
"144464","LAKIN",-101.2500,37.9333,914,"COOP","15643"
"144695","LIBERAL",-100.9167,37.0500,863,"COOP","15680"
"144982","MANKATO",-98.2167,39.7833,541,"COOP","15721"
"145039","MARION LAKE",-97.0833,38.3833,411,"COOP","15723"
"145210","MELVERN LAKE",-95.7000,38.5000,333,"COOP","15749"
"145306","MILFORD LAKE",-96.8833,39.0833,369,"COOP","15755"
"145536","MOUND VALLEY",-95.4500,37.1833,244,"COOP","15772"
"145856","NORTON 9 SSE",-99.8333,39.7000,701,"COOP","15796"
"146242","PARSONS 2 NW",-95.2833,37.3667,278,"COOP","15840"
"146333","PERRY LAKE",-95.4167,39.1167,293,"COOP","15848"
"146374","PHILLIPSBURG",-99.3167,39.7333,581,"COOP","15852"
"146498","POMONA LAKE",-95.5667,38.6500,323,"COOP","15866"
"146637","QUINTER",-100.2333,39.0667,814,"COOP","15880"
"147093","SAINT FRANCI",-101.8000,39.7667,1006,"COOP","15923"
"147305","SEDAN",-96.1667,37.1167,250,"COOP","15947"
"148191","TORONTO LAKE",-95.9333,37.7500,274,"COOP","16008"
"148259","TUTTLE CREEK",-96.6000,39.2500,323,"COOP","16020"
"148287","ULYSSES 1 SE",-101.3500,37.5667,922,"COOP","16024"
"148495","WAKEENEY",-99.8833,39.0167,747,"COOP","16036"
"148648","WEBSTER DAM",-99.4167,39.4167,567,"COOP","16053"
"148670","WELLINGTON 2",-97.4000,37.2333,375,"COOP","16054"
"148946","WILSON LAKE",-98.4833,38.9667,461,"COOP","16075"
"150381","BARBOURVILLE",-83.8833,36.8667,299,"COOP","16114"
"150422","BARREN RIVER",-86.1333,36.9000,189,"COOP","16122"
"150940","BRADFORDSVIL",-85.1500,37.4833,201,"COOP","16158"
"151406","CECILIA 2 SE",-85.9333,37.6667,221,"COOP","16190"
"151998","CYNTHIANA",-84.3000,38.3833,214,"COOP","16228"
"152040","DANVILLE",-84.7667,37.6500,291,"COOP","16230"
"152409","EASTERN KENT",-84.3333,37.7500,305,"COOP","16248"
"152775","FALMOUTH",-84.3167,38.6833,168,"COOP","16266"
"152791","FARMERS 2 S",-83.5500,38.1167,207,"COOP","16267"
"153028","FRANKFORT LO",-84.8667,38.2333,153,"COOP","16279"
"153391","GRAYSON 2 S",-82.9333,38.3000,183,"COOP","16302"
"153430","GREENSBURG",-85.5000,37.2500,180,"COOP","16308"
"153994","HOPKINSVILLE",-87.5000,36.8500,165,"COOP","16343"
"154097","HYDEN 4 E",-83.3333,37.1333,359,"COOP","16347"
"154208","JAMESTOWN",-85.0667,36.9667,302,"COOP","16355"
"155389","MIDDLESBORO",-83.7333,36.6000,358,"COOP","16446"
"155648","MOUNT VERNON",-84.3333,37.3500,354,"COOP","16464"
"155834","NOLIN RIVER",-86.2500,37.2833,186,"COOP","16476"
"156117","PADUCAH SEWA",-88.6000,37.1000,99,"COOP","16499"
"156988","ROUGH RIVER",-86.5000,37.6167,169,"COOP","16546"
"157324","SHELBYVILLE",-85.2000,38.2000,222,"COOP","16572"
"157677","STEARNS",-84.4667,36.6833,405,"COOP","16592"
"158446","WARSAW MARKL",-84.9667,38.7667,142,"COOP","16625"
"158551","WEST LIBERTY",-83.2667,37.9167,233,"COOP","16631"
"158709","WILLIAMSBURG",-84.1500,36.7333,305,"COOP","16639"
"160098","ALEXANDRIA",-92.4667,31.3167,27,"COOP","16656"
"160205","AMITE",-90.5000,30.7167,36,"COOP","16660"
"160349","ASHLAND",-93.1000,32.1167,70,"COOP","16666"
"160639","BELAH FIRE T",-92.1833,31.6333,60,"COOP","16687"
"160945","BOGALUSA",-89.8667,30.7833,32,"COOP","16695"
"161287","BUNKIE",-92.1667,30.9500,18,"COOP","16706"
"161411","CALHOUN EXPE",-92.3333,32.5167,55,"COOP","16715"
"161565","CARVILLE 2 S",-91.1167,30.2000,9,"COOP","16725"
"161899","CLINTON 5 SE",-90.9667,30.8000,61,"COOP","16738"
"162023","CONVERSE",-93.7000,31.7500,67,"COOP","16748"
"162121","COTTON VALLE",-93.4167,32.8167,70,"COOP","16750"
"162212","CROWLEY EXPE",-92.3667,30.2500,9,"COOP","16758"
"162330","DELTA BREPON",-89.2667,29.2167,3,"COOP","16768"
"162361","DE QUINCY 4",-93.4333,30.5167,29,"COOP","16772"
"162534","DONALDSONVIL",-90.9833,30.1167,1,"COOP","16783"
"162800","ELIZABETH",-92.7833,30.8500,38,"COOP","16793"
"163979","HACKBERRY 8",-93.4167,29.8833,3,"COOP","16849"
"164030","HAMMOND 5 E",-90.3667,30.5000,10,"COOP","16852"
"164034","HAMMOND 3 NW",-90.4833,30.5333,15,"COOP","16853"
"164355","HOMER EXPERI",-93.0667,32.7500,116,"COOP","16870"
"164407","HOUMA",-90.7333,29.5833,6,"COOP","16875"
"164674","JEANERETTE E",-91.7167,29.9500,6,"COOP","16886"
"164700","JENNINGS",-92.6667,30.2000,8,"COOP","16889"
"164739","JONESVILLE L",-91.8500,31.4833,21,"COOP","16895"
"165090","LAKE PROVIDE",-91.1667,32.8000,31,"COOP","16922"
"165266","LEESVILLE",-93.2667,31.1500,73,"COOP","16926"
"165610","LOUISIANA NA",-89.9667,30.0500,0,"COOP","16941"
"165620","LSU BEN-HUR",-91.1667,30.3667,6,"COOP","16942"
"165630","LSU DEAN LEE",-92.4000,31.1833,21,"COOP","16944"
"165892","MANY",-93.4833,31.5667,79,"COOP","16950"
"166117","MELVILLE",-91.7500,30.6833,9,"COOP","16957"
"166244","MINDEN",-93.2833,32.5833,56,"COOP","16964"
"166314","MONROE NLU",-92.0667,32.5333,21,"COOP","16974"
"166394","MORGAN CITY",-91.1833,29.6833,2,"COOP","16979"
"166582","NATCHITOCHES",-93.0833,31.7667,37,"COOP","16989"
"166657","NEW IBERIA 5",-91.8833,30.0500,9,"COOP","16993"
"166686","NEW ROADS 5",-91.3667,30.6833,15,"COOP","17012"
"166938","OBERLIN FIRE",-92.7833,30.6000,21,"COOP","17021"
"166962","OLD RIVER LO",-91.6667,31.0000,21,"COOP","17023"
"166978","OLLA 3 SSW",-92.2667,31.8667,31,"COOP","17027"
"167344","PLAIN DEALIN",-93.6833,32.9000,88,"COOP","17042"
"167738","RED RIVER VA",-93.6333,32.4167,47,"COOP","17069"
"167767","RESERVE",-90.5667,30.0667,3,"COOP","17070"
"167932","ROCKEFELLER",-92.8167,29.7333,0,"COOP","17081"
"168046","ROSEPINE EXP",-93.2833,30.9500,73,"COOP","17085"
"168067","RUSTON LA TE",-92.6500,32.5167,85,"COOP","17087"
"168163","ST JOSEPH EX",-91.2333,31.9500,19,"COOP","17093"
"168539","SLIDELL WSFO",-89.7667,30.2500,3,"COOP","17121"
"168923","TALLULAH",-91.2167,32.4000,22,"COOP","17143"
"169319","VERMILION LO",-92.2000,29.7833,3,"COOP","17157"
"169806","WINNSBORO",-91.7000,32.1500,24,"COOP","17179"
"169865","WOODWORTH 2",-92.4667,31.1167,35,"COOP","17185"
"170814","BRASSUA DAM",-69.8167,45.6667,323,"COOP","17218"
"171628","CORINNA",-69.2667,44.9167,67,"COOP","17238"
"171975","DOVER-FOXCRO",-69.2500,45.1833,140,"COOP","17251"
"172238","EAST HIRAM",-70.7500,43.8833,160,"COOP","17256"
"172765","FARMINGTON",-70.1500,44.6833,128,"COOP","17273"
"172878","FORT KENT",-68.5833,47.2500,157,"COOP","17277"
"173261","GRAND LAKE S",-67.7833,45.1833,88,"COOP","17288"
"174086","JACKMAN",-70.2667,45.6333,360,"COOP","17305"
"174183","JONESBORO",-67.6500,44.6500,56,"COOP","17306"
"174781","LONG FALLS D",-70.2000,45.2167,354,"COOP","17325"
"174927","MADISON",-69.8833,44.8000,79,"COOP","17328"
"175261","MIDDLE DAM",-70.9167,44.7833,445,"COOP","17333"
"175304","MILLINOCKET",-68.7000,45.6500,110,"COOP","17334"
"177037","RANGELEY",-70.6500,44.9667,467,"COOP","17384"
"177174","RIPOGENUS DA",-69.1833,45.8833,294,"COOP","17387"
"178353","SPRINGFIELD",-68.1667,45.4000,134,"COOP","17416"
"178398","SQUA PAN DAM",-68.3333,46.5500,186,"COOP","17417"
"178688","TELOS DAM",-69.1333,46.1500,293,"COOP","17421"
"178965","VAN BUREN 2",-67.9333,47.1667,140,"COOP","17432"
"179593","WEST ROCKPOR",-69.1500,44.2000,116,"COOP","17450"
"179891","WOODLAND",-67.4000,45.1500,42,"COOP","17454"
"180700","BELTSVILLE",-76.8833,39.0333,37,"COOP","17469"
"181995","COLLEGE PARK",-76.9500,38.9833,27,"COOP","17515"
"185832","MC HENRY 2 N",-79.3667,39.5833,817,"COOP","17620"
"186350","NATIONAL ARB",-76.9694,38.9133,15,"COOP","17629"
"188065","SAVAGE RIVER",-79.1333,39.5167,456,"COOP","17677"
"189070","UPPER MARLBO",-76.7833,38.8667,31,"COOP","17709"
"190408","BARRE FALLS",-72.0333,42.4333,277,"COOP","17745"
"190666","BIRCH HILL D",-72.1167,42.6333,262,"COOP","17757"
"190759","BORDEN BROOK",-72.9333,42.1333,339,"COOP","17760"
"190998","BUFFUMVILLE",-71.9000,42.1167,153,"COOP","17770"
"191561","CLINTON",-71.6833,42.4000,122,"COOP","17790"
"191774","CUMMINGTON H",-72.9333,42.4667,423,"COOP","17799"
"192107","EAST BRIMFIE",-72.1333,42.1167,207,"COOP","17809"
"192501","EDGARTOWN",-70.5167,41.3833,6,"COOP","17816"
"192975","FRAMINGHAM",-71.4167,42.2833,52,"COOP","17827"
"193821","HYANNIS",-70.3000,41.6667,15,"COOP","17861"
"193890","JAMAICA PLAI",-71.1239,42.3031,46,"COOP","17865"
"193985","KNIGHTVILLE",-72.8667,42.2833,192,"COOP","17869"
"194075","LANESBORO",-73.2333,42.5500,378,"COOP","17871"
"194105","LAWRENCE",-71.1667,42.7000,17,"COOP","17872"
"194580","MAYNARD",-71.4500,42.4333,67,"COOP","17893"
"196486","PLYMOUTH",-70.6667,41.9500,27,"COOP","17945"
"196681","PROVINCETOWN",-70.1833,42.0500,6,"COOP","17949"
"196938","ROCHESTER",-70.9167,41.7833,18,"COOP","17955"
"198573","TULLY LAKE",-72.2167,42.6333,210,"COOP","17998"
"199316","WEST MEDWAY",-71.4333,42.1333,64,"COOP","18025"
"200128","ALLEGAN",-85.8333,42.5167,204,"COOP","18060"
"200146","ALMA",-84.6667,43.3833,232,"COOP","18062"
"200417","BAD AXE",-83.0000,43.8167,218,"COOP","18085"
"200446","BALDWIN",-85.8500,43.9000,256,"COOP","18087"
"200718","BERGLAND DAM",-89.5500,46.5833,397,"COOP","18109"
"200864","BLOOMINGDALE",-85.9667,42.3833,221,"COOP","18123"
"201476","CHARLOTTE",-84.8333,42.5500,275,"COOP","18170"
"201492","CHEBOYGAN",-84.4667,45.6500,180,"COOP","18173"
"201777","COPPER HARBO",-87.9500,47.4833,192,"COOP","18195"
"201922","CRYSTAL FALL",-88.2333,46.1667,415,"COOP","18209"
"202015","DEARBORN",-83.2333,42.3167,184,"COOP","18221"
